구별,강간,강도,살인,절도,폭력,강간검거율,강도검거율,살인검거율,절도검거율,폭력검거율,인구수,CCTV,범죄,검거
강남구,1.0,0.9412,0.9167,1.0,1.0,77.73,85.71,76.92,42.86,86.48,570500.0,2780,0.97158,85.46
강동구,0.1556,0.0588,0.1667,0.4675,0.438,78.85,100.0,75.0,33.35,82.89,453233.0,773,0.25732,85.55
강북구,0.147,0.5294,0.4167,0.1331,0.4154,82.35,92.86,100.0,43.1,88.64,330192.0,748,0.32832,94.07
강서구,0.4611,0.4706,0.4167,0.3706,0.6149,72.9,100.0,100.0,60.11,84.75,603772.0,884,0.46678,96.57
관악구,0.6282,0.4118,0.5833,0.5895,0.6475,69.06,100.0,88.89,30.56,80.11,525515.0,1496,0.57206,85.21
광진구,0.3977,0.5294,0.1667,0.7043,0.4069,91.67,100.0,100.0,42.2,83.05,372164.0,707,0.441,96.38
구로구,0.5159,0.5882,0.5,0.4564,0.5434,58.36,73.33,75.0,38.07,80.88,447874.0,1561,0.52078,75.28
금천구,0.1412,0.0588,0.0833,0.1808,0.2027,80.79,100.0,100.0,56.67,86.47,255082.0,1015,0.13335999999999998,98.0
노원구,0.2738,0.1176,0.6667,0.4055,0.4419,61.42,100.0,100.0,36.53,85.53,569384.0,1265,0.3811,88.65
도봉구,0.0,0.2353,0.0833,0.0,0.0,100.0,100.0,100.0,44.97,87.63,348646.0,485,0.06372,100.0
동대문구,0.2046,0.4706,0.25,0.3294,0.3793,84.39,100.0,100.0,41.09,87.4,369496.0,1294,0.32677999999999996,95.44
동작구,0.5274,0.2353,0.25,0.2878,0.1512,48.77,55.56,100.0,35.44,83.09,412520.0,1091,0.29034,74.63
마포구,0.5533,0.5294,0.5,0.5353,0.5349,84.01,71.43,100.0,31.82,84.45,389649.0,574,0.5305799999999999,85.92
서대문구,0.1499,0.0,0.0,0.2687,0.2034,80.52,80.0,100.0,40.73,83.22,327163.0,962,0.1244,88.87
서초구,0.8386,0.2353,0.5,0.564,0.3261,63.36,66.67,75.0,41.4,87.45,450310.0,1930,0.4928,77.18
성동구,0.0692,0.2353,0.1667,0.1952,0.0447,94.44,88.89,100.0,37.15,86.54,311244.0,1062,0.14221999999999999,94.09
성북구,0.1383,0.0,0.25,0.2591,0.2581,82.67,80.0,100.0,41.51,83.97,461260.0,1464,0.18109999999999998,89.72
송파구,0.3401,0.4706,0.75,0.7808,0.6464,80.91,76.92,90.91,34.86,84.55,667483.0,618,0.59758,85.1
양천구,0.0519,0.0588,0.0833,0.2967,0.3654,87.5,50.0,100.0,35.56,80.91,479978.0,2034,0.17122,81.82
영등포구,0.5562,1.0,1.0,0.6821,0.7454,62.03,90.91,85.71,33.0,82.89,402985.0,904,0.79674,81.96
용산구,0.2651,0.5294,0.25,0.1773,0.2013,89.18,100.0,100.0,37.7,83.12,244203.0,1624,0.28462,94.78
은평구,0.1844,0.2353,0.0833,0.3053,0.4169,84.94,66.67,100.0,37.15,86.92,494388.0,1873,0.24504,86.84
종로구,0.3141,0.3529,0.3333,0.4022,0.2882,76.3,81.82,83.33,38.32,84.21,162820.0,1002,0.33814,84.14
중구,0.196,0.2353,0.0833,0.5328,0.2635,65.29,66.67,66.67,33.71,88.31,133240.0,671,0.26218,74.12
중랑구,0.245,0.3529,0.9167,0.3846,0.4862,79.14,81.82,92.31,38.83,84.55,414503.0,660,0.47708000000000006,87.07
